Kelime,Anlam
abandon,terk etmek
benevolent,iyi niyetli
cogent,ikna edici
diligent,çalışkan
elucidate,açıklamak
facetious,şakacı
gregarious,sosyal
haphazard,düzensiz
immutable,değişmez
jovial,neşeli
keen,hevesli
lucid,"açık, anlaşılır"
miserly,cimri
nefarious,kötü amaçlı
obscure,belirsiz
paucity,"azlık, yetersizlik"
quixotic,hayalperest
resilient,dayanıklı
serene,huzurlu
tenacious,azimli
ubiquitous,her yerde bulunan
vex,"kızdırmak, sinirlendirmek"
warrant,garanti etmek
zealot,aşırı tutucu
aberration,sapma
baleful,kötü niyetli
caustic,"yakıcı, zehirli"
dormant,hareketsiz
enervate,zayıflatmak
flabbergasted,şok olmuş
garrulous,geveze
harangue,uzun ve sıkıcı konuşma
impeccable,kusursuz
judicious,akıllıca
knead,yoğurmak
laconic,az ve öz
meticulous,titiz
nonchalant,umursamaz
opulent,zengin
precarious,tehlikeli
quixotic,hayalperest
recalcitrant,başkaldıran
sagacious,"akıllı, bilge"
taciturn,konuşmayan
ubiquitous,her yerde bulunan
voracious,aç gözlü
winsome,çekici
xenophobic,yabancı düşmanı
yarn,"hikaye, masal"
zealous,"hevesli, gayretli"
abstruse,zor anlaşılır
blatant,"açık, bariz"
compelling,zorlayıcı
dismay,"korku, endişe"
erratic,düzensiz
fervent,"içten, gayretli"
gullible,"saftirik, kolay aldatılabilir"
hasten,acele etmek
impartial,tarafsız
juxtapose,yan yana koymak
knack,"yetenek, beceri"
lucid,"açık, net"
morose,asık suratlı
noxious,zararlı
opaque,saydam olmayan
pensive,"dalgın, düşünceli"
quaint,"eski, ilginç"
rejuvenate,gençleştirmek
scintillating,"parlak, etkileyici"
tenuous,"zayıf, ince"
usurp,zorla ele geçirmek
vapid,"sıkıcı, renksiz"
whimsical,"garip, tuhaf"
yoke,boyunduruk
zenith,zirve
